編號,車站名稱,地址,緯度,經度
C1,籬仔內,高雄市前鎮區凱旋四路、一心一路路口,22.6046547,120.3246512
C2,凱旋瑞田,高雄市前鎮區凱旋四路、瑞田街路口,22.5995071,120.3197511
C3,前鎮之星,高雄市前鎮區捷運凱旋站,22.5954767,120.3153478
C4,凱旋中華,高雄市前鎮區中華五路、凱旋四路路口,22.5936295,120.310496
C5,夢時代,高雄市前鎮區成功二路、時代大道路口,22.5948593,120.3049849
C6,經貿園區,高雄市前鎮區成功二路、正勤路路口,22.6009345,120.3026403
C7,軟體園區,高雄市前鎮區成功二路、復興三路路口,22.6056585,120.3008122
C8,高雄展覽館,高雄市苓雅區成功二路、新光路路口,22.6101078,120.2980026
C9,旅運中心,高雄市苓雅區海邊路、苓南路路口,22.6115998,120.2934187
C10,光榮碼頭,高雄市苓雅區光榮碼頭,22.6167276,120.2931869
C11,真愛碼頭,高雄市鹽埕區真愛碼頭,22.61929,120.2894459
C12,駁二大義,高雄市鹽埕區西臨港自行車道、大義街路口,22.6185377,120.2841808
C13,駁二蓬萊,高雄市鼓山區西臨港自行車道、七賢三路路口,22.6204699,120.2799125
C14,哈瑪星,高雄市鼓山區捷運西子灣站,22.6215919,120.2758292
